Date,Time,Time since 1970-01-01T00:00:00Z,,Time since start of measurement,,Temperatur,
2025-12-09,14:15:03.253707,1765286103.253707,s,52.791994,s,72.0,°C
2025-12-09,14:15:03.503487,1765286103.503487,s,53.041774,s,72.0,°C
2025-12-09,14:15:03.754092,1765286103.754092,s,53.292379,s,72.0,°C
2025-12-09,14:15:04.003894,1765286104.003894,s,53.542181,s,72.0,°C
2025-12-09,14:15:04.254406,1765286104.254406,s,53.792693,s,72.0,°C
2025-12-09,14:15:04.504275,1765286104.504275,s,54.042562,s,72.0,°C
2025-12-09,14:15:04.754925,1765286104.754925,s,54.293212,s,72.0,°C
2025-12-09,14:15:05.004524,1765286105.004524,s,54.542811,s,72.0,°C
2025-12-09,14:15:05.255438,1765286105.255438,s,54.793725,s,72.0,°C
2025-12-09,14:15:05.504849,1765286105.504849,s,55.043136,s,72.0,°C
2025-12-09,14:15:05.755745,1765286105.755745,s,55.294032,s,72.0,°C
2025-12-09,14:15:06.005090,1765286106.00509,s,55.543377,s,72.0,°C
2025-12-09,14:15:06.256115,1765286106.256115,s,55.794402,s,72.0,°C
2025-12-09,14:15:06.505641,1765286106.505641,s,56.043928,s,72.0,°C
2025-12-09,14:15:06.756582,1765286106.756582,s,56.294869,s,72.0,°C
2025-12-09,14:15:07.006200,1765286107.0062,s,56.544487,s,72.0,°C
2025-12-09,14:15:07.257008,1765286107.257008,s,56.795295,s,72.0,°C
2025-12-09,14:15:07.506717,1765286107.506717,s,57.045004,s,72.0,°C
2025-12-09,14:15:07.757446,1765286107.757446,s,57.295733,s,72.0,°C
2025-12-09,14:15:08.007239,1765286108.007239,s,57.545526,s,72.0,°C
2025-12-09,14:15:08.257774,1765286108.257774,s,57.796061,s,72.0,°C
2025-12-09,14:15:08.507531,1765286108.507531,s,58.045818,s,72.0,°C
2025-12-09,14:15:08.758120,1765286108.75812,s,58.296407,s,72.0,°C
2025-12-09,14:15:09.008073,1765286109.008073,s,58.54636,s,72.0,°C
2025-12-09,14:15:09.258411,1765286109.258411,s,58.796698,s,72.0,°C
2025-12-09,14:15:09.508584,1765286109.508584,s,59.046871,s,72.0,°C
2025-12-09,14:15:09.758747,1765286109.758747,s,59.297034,s,72.0,°C
2025-12-09,14:15:10.009036,1765286110.009036,s,59.547323,s,72.0,°C
2025-12-09,14:15:10.259090,1765286110.25909,s,59.797377,s,72.0,°C
2025-12-09,14:15:10.509495,1765286110.509495,s,60.047782,s,72.0,°C
2025-12-09,14:15:10.759416,1765286110.759416,s,60.297703,s,72.0,°C
2025-12-09,14:15:11.009945,1765286111.009945,s,60.548232,s,72.0,°C
2025-12-09,14:15:11.259766,1765286111.259766,s,60.798053,s,72.0,°C
2025-12-09,14:15:11.510470,1765286111.51047,s,61.048757,s,72.0,°C
2025-12-09,14:15:11.760103,1765286111.760103,s,61.29839,s,72.0,°C
2025-12-09,14:15:12.010733,1765286112.010733,s,61.54902,s,73.0,°C
2025-12-09,14:15:12.260402,1765286112.260402,s,61.798689,s,73.0,°C
2025-12-09,14:15:12.511251,1765286112.511251,s,62.049538,s,73.0,°C
2025-12-09,14:15:12.760917,1765286112.760917,s,62.299204,s,73.0,°C
2025-12-09,14:15:13.011533,1765286113.011533,s,62.54982,s,73.0,°C
2025-12-09,14:15:13.261264,1765286113.261264,s,62.799551,s,73.0,°C
2025-12-09,14:15:13.511886,1765286113.511886,s,63.050173,s,73.0,°C
2025-12-09,14:15:13.761516,1765286113.761516,s,63.299803,s,72.0,°C
2025-12-09,14:15:14.012317,1765286114.012317,s,63.550604,s,72.0,°C
2025-12-09,14:15:14.262047,1765286114.262047,s,63.800334,s,72.0,°C
2025-12-09,14:15:14.512744,1765286114.512744,s,64.051031,s,72.0,°C
2025-12-09,14:15:14.762616,1765286114.762616,s,64.300903,s,73.0,°C
2025-12-09,14:15:15.013158,1765286115.013158,s,64.551445,s,73.0,°C
2025-12-09,14:15:15.263033,1765286115.263033,s,64.80132,s,73.0,°C
2025-12-09,14:15:15.513594,1765286115.513594,s,65.051881,s,72.0,°C
2025-12-09,14:15:15.763455,1765286115.763455,s,65.301742,s,72.0,°C
2025-12-09,14:15:16.013915,1765286116.013915,s,65.552202,s,72.0,°C
2025-12-09,14:15:16.263917,1765286116.263917,s,65.802204,s,72.0,°C
2025-12-09,14:15:16.514198,1765286116.514198,s,66.052485,s,72.0,°C
2025-12-09,14:15:16.764390,1765286116.76439,s,66.302677,s,72.0,°C
2025-12-09,14:15:17.014481,1765286117.014481,s,66.552768,s,72.0,°C
2025-12-09,14:15:17.264880,1765286117.26488,s,66.803167,s,73.0,°C
2025-12-09,14:15:17.514723,1765286117.514723,s,67.05301,s,73.0,°C
2025-12-09,14:15:17.765355,1765286117.765355,s,67.303642,s,72.0,°C
2025-12-09,14:15:18.015050,1765286118.01505,s,67.553337,s,72.0,°C
2025-12-09,14:15:18.265876,1765286118.265876,s,67.804163,s,72.0,°C
2025-12-09,14:15:18.515378,1765286118.515378,s,68.053665,s,72.0,°C
2025-12-09,14:15:18.766322,1765286118.766322,s,68.304609,s,72.0,°C
2025-12-09,14:15:19.015693,1765286119.015693,s,68.55398,s,72.0,°C
2025-12-09,14:15:19.266553,1765286119.266553,s,68.80484,s,72.0,°C
2025-12-09,14:15:19.516003,1765286119.516003,s,69.05429,s,72.0,°C
2025-12-09,14:15:19.767068,1765286119.767068,s,69.305355,s,72.0,°C
2025-12-09,14:15:20.016447,1765286120.016447,s,69.554734,s,72.0,°C
2025-12-09,14:15:20.267589,1765286120.267589,s,69.805876,s,72.0,°C
2025-12-09,14:15:20.516864,1765286120.516864,s,70.055151,s,72.0,°C
2025-12-09,14:15:20.768073,1765286120.768073,s,70.30636,s,72.0,°C
2025-12-09,14:15:21.017323,1765286121.017323,s,70.55561,s,72.0,°C
2025-12-09,14:15:21.268488,1765286121.268488,s,70.806775,s,72.0,°C
2025-12-09,14:15:21.517786,1765286121.517786,s,71.056073,s,72.0,°C
2025-12-09,14:15:21.768893,1765286121.768893,s,71.30718,s,72.0,°C
2025-12-09,14:15:22.018225,1765286122.018225,s,71.556512,s,72.0,°C
2025-12-09,14:15:22.269335,1765286122.269335,s,71.807622,s,72.0,°C
2025-12-09,14:15:22.518762,1765286122.518762,s,72.057049,s,73.0,°C
2025-12-09,14:15:22.769769,1765286122.769769,s,72.308056,s,73.0,°C
2025-12-09,14:15:23.019237,1765286123.019237,s,72.557524,s,72.0,°C
2025-12-09,14:15:23.270190,1765286123.27019,s,72.808477,s,72.0,°C
2025-12-09,14:15:23.519713,1765286123.519713,s,73.058,s,72.0,°C
2025-12-09,14:15:23.770450,1765286123.77045,s,73.308737,s,72.0,°C
2025-12-09,14:15:24.020091,1765286124.020091,s,73.558378,s,72.0,°C
2025-12-09,14:15:24.270779,1765286124.270779,s,73.809066,s,72.0,°C
2025-12-09,14:15:24.520411,1765286124.520411,s,74.058698,s,72.0,°C
2025-12-09,14:15:24.771124,1765286124.771124,s,74.309411,s,72.0,°C
2025-12-09,14:15:25.020747,1765286125.020747,s,74.559034,s,72.0,°C
2025-12-09,14:15:25.271401,1765286125.271401,s,74.809688,s,72.0,°C
2025-12-09,14:15:25.521099,1765286125.521099,s,75.059386,s,72.0,°C
2025-12-09,14:15:25.771734,1765286125.771734,s,75.310021,s,72.0,°C
2025-12-09,14:15:26.021409,1765286126.021409,s,75.559696,s,72.0,°C
2025-12-09,14:15:26.272077,1765286126.272077,s,75.810364,s,72.0,°C
2025-12-09,14:15:26.521660,1765286126.52166,s,76.059947,s,72.0,°C
2025-12-09,14:15:26.772401,1765286126.772401,s,76.310688,s,72.0,°C
2025-12-09,14:15:27.021976,1765286127.021976,s,76.560263,s,72.0,°C
2025-12-09,14:15:27.272735,1765286127.272735,s,76.811022,s,72.0,°C
2025-12-09,14:15:27.522338,1765286127.522338,s,77.060625,s,72.0,°C
2025-12-09,14:15:27.773054,1765286127.773054,s,77.311341,s,72.0,°C
2025-12-09,14:15:28.022832,1765286128.022832,s,77.561119,s,72.0,°C
2025-12-09,14:15:28.273501,1765286128.273501,s,77.811788,s,73.0,°C
2025-12-09,14:15:28.523308,1765286128.523308,s,78.061595,s,73.0,°C
2025-12-09,14:15:28.773966,1765286128.773966,s,78.312253,s,72.0,°C
2025-12-09,14:15:29.023822,1765286129.023822,s,78.562109,s,72.0,°C
2025-12-09,14:15:29.274352,1765286129.274352,s,78.812639,s,72.0,°C
2025-12-09,14:15:29.524248,1765286129.524248,s,79.062535,s,72.0,°C
2025-12-09,14:15:29.774804,1765286129.774804,s,79.313091,s,72.0,°C
2025-12-09,14:15:30.024674,1765286130.024674,s,79.562961,s,73.0,°C
2025-12-09,14:15:30.275161,1765286130.275161,s,79.813448,s,73.0,°C
